hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,capacity,hidden_dim,num_layers
1.1941006575887376,-0.2704561490660364,0.49058778995401725,0.17853371798992157,1.4493905270438443,0.5912619833411913,0.8808438703885073,0.44181786167793274,4,0.0,0.002191237500999694,0.49058778995401725,0.5864183964184093,0.4450297443349529,0.640822670535721,14.737914690863375,68103,1759.612158,0.0003414995444472879,42,base_loss_comparison_trajectory_balance_seed42,medium,128,4
1.1909610166891182,-0.2700896814515758,0.49524402935404555,0.1783941686153412,1.4415432434340743,0.5429239101258427,0.997221013979269,0.4499993168220038,14,0.0,0.0004947770689999019,0.49524402935404555,0.5409744974441946,0.42471182602131186,0.6423192425605336,14.731059482252542,68103,1777.139511,0.0014068962773308158,264,base_loss_comparison_trajectory_balance_seed264,medium,128,4
1.1908689608493035,-0.27006888622816916,0.4955249803139686,0.18284659087657928,1.4784318071303002,0.5351320715319104,0.9421057457633764,0.4402187563376941,13,0.0,0.024904373934818185,0.4955249803139686,0.5366707349889213,0.4279334368515795,0.6424095436191438,14.8738400996853,68103,1761.078447,0.0003569279215298593,375,base_loss_comparison_trajectory_balance_seed375,medium,128,4
1.1941044513107946,-0.2704561490660364,0.49809703615500506,0.18050624430179596,1.4863236233452486,0.5510877360745876,0.9326643915954395,0.4549788177508281,4,0.0,0.002254287388956967,0.49809703615500506,0.545125499640651,0.42613984488246626,0.6432362336767745,15.036774911202723,68103,1751.037779,0.00035330496029928327,486,base_loss_comparison_trajectory_balance_seed486,medium,128,4
1.1941006575887376,-0.2704561490660364,0.49058778995401725,0.17853371798992157,1.4493905270438443,0.5912619833411913,0.8808438703885073,0.44181786167793274,4,0.0,0.002191237500999694,0.49058778995401725,0.5864183964184093,0.4450297443349529,0.640822670535721,14.777226544759856,68103,1754.931062,0.0003414995444472879,42,base_loss_comparison_detailed_balance_seed42,medium,128,4
1.1940614442919735,-0.2704561490660364,0.4912337124742798,0.17965355515480042,1.4702353494103093,0.5154574039789591,0.9982530234059218,0.44379090300608287,4,0.0,0.0015725047176638107,0.4912337124742798,0.5181209620906654,0.4468241856548967,0.6410302778967203,14.759537480296432,68103,1759.347682,0.00028497364837676287,153,base_loss_comparison_detailed_balance_seed153,medium,128,4
1.1909610166891182,-0.2700896814515758,0.49524402935404555,0.1783941686153412,1.4415432434340743,0.5429239101258427,0.997221013979269,0.4499993168220038,14,0.0,0.0004947770689999019,0.49524402935404555,0.5409744974441946,0.42471182602131186,0.6423192425605336,14.69045741888581,68103,1782.051239,0.0014068962773308158,264,base_loss_comparison_detailed_balance_seed264,medium,128,4
1.1908689608493035,-0.27006888622816916,0.4955249803139686,0.18284659087657928,1.4784318071303002,0.5351320715319104,0.9421057457633764,0.4402187563376941,13,0.0,0.024904373934818185,0.4955249803139686,0.5366707349889213,0.4279334368515795,0.6424095436191438,14.874656260465784,68103,1760.981818,0.0003569279215298593,375,base_loss_comparison_detailed_balance_seed375,medium,128,4
1.1941044513107946,-0.2704561490660364,0.49809703615500506,0.18050624430179596,1.4863236233452486,0.5510877360745876,0.9326643915954395,0.4549788177508281,4,0.0,0.002254287388956967,0.49809703615500506,0.545125499640651,0.42613984488246626,0.6432362336767745,15.002852420171601,68103,1754.996997,0.00035330496029928327,486,base_loss_comparison_detailed_balance_seed486,medium,128,4
1.1941006575887376,-0.2704561490660364,0.49058778995401725,0.17853371798992157,1.4493905270438443,0.5912619833411913,0.8808438703885073,0.44181786167793274,4,0.0,0.002191237500999694,0.49058778995401725,0.5864183964184093,0.4450297443349529,0.640822670535721,14.780259446806495,68103,1754.570951,0.0003414995444472879,42,base_loss_comparison_flow_matching_seed42,medium,128,4
1.1940614442919735,-0.2704561490660364,0.4912337124742798,0.17965355515480042,1.4702353494103093,0.5154574039789591,0.9982530234059218,0.44379090300608287,4,0.0,0.0015725047176638107,0.4912337124742798,0.5181209620906654,0.4468241856548967,0.6410302778967203,14.423292208475804,68103,1800.362752,0.00028497364837676287,153,base_loss_comparison_flow_matching_seed153,medium,128,4
1.1909610166891182,-0.2700896814515758,0.49524402935404555,0.1783941686153412,1.4415432434340743,0.5429239101258427,0.997221013979269,0.4499993168220038,14,0.0,0.0004947770689999019,0.49524402935404555,0.5409744974441946,0.42471182602131186,0.6423192425605336,14.379030500078208,68103,1820.647633,0.0014068962773308158,264,base_loss_comparison_flow_matching_seed264,medium,128,4
1.1908689608493035,-0.27006888622816916,0.4955249803139686,0.18284659087657928,1.4784318071303002,0.5351320715319104,0.9421057457633764,0.4402187563376941,13,0.0,0.024904373934818185,0.4955249803139686,0.5366707349889213,0.4279334368515795,0.6424095436191438,14.318114767914468,68103,1829.430735,0.0003569279215298593,375,base_loss_comparison_flow_matching_seed375,medium,128,4
1.1941044513107946,-0.2704561490660364,0.49809703615500506,0.18050624430179596,1.4863236233452486,0.5510877360745876,0.9326643915954395,0.4549788177508281,4,0.0,0.002254287388956967,0.49809703615500506,0.545125499640651,0.42613984488246626,0.6432362336767745,14.175536516889743,68103,1857.422533,0.00035330496029928327,486,base_loss_comparison_flow_matching_seed486,medium,128,4
1.1941006575887376,-0.2704561490660364,0.49058778995401725,0.17853371798992157,1.4493905270438443,0.5912619833411913,0.8808438703885073,0.44181786167793274,4,0.0,0.002191237500999694,0.49058778995401725,0.5864183964184093,0.4450297443349529,0.640822670535721,13.585858375947716,68103,1908.824099,0.0003414995444472879,42,entropy_regularization_none_seed42,medium,128,4
