capacity,hypervolume_mean,hypervolume_std,hypervolume_count,r2_indicator_mean,r2_indicator_std,r2_indicator_count,avg_pairwise_distance_mean,avg_pairwise_distance_std,avg_pairwise_distance_count,spacing_mean,spacing_std,spacing_count,spread_mean,spread_std,spread_count,tds_mean,tds_std,tds_count,mpd_mean,mpd_std,mpd_count,mce_mean,mce_std,mce_count,num_modes_mean,num_modes_std,num_modes_count,pmd_mean,pmd_std,pmd_count,pfs_mean,pfs_std,pfs_count,pas_mean,pas_std,pas_count,rbd_mean,rbd_std,rbd_count,fci_mean,fci_std,fci_count,qds_mean,qds_std,qds_count,der_mean,der_std,der_count,num_parameters_mean,num_parameters_std,num_parameters_count,training_time_mean,training_time_std,training_time_count,final_loss_mean,final_loss_std,final_loss_count,seed_mean,seed_std,seed_count,hidden_dim_mean,hidden_dim_std,hidden_dim_count,num_layers_mean,num_layers_std,num_layers_count,alpha_mean,alpha_std,alpha_count
large,1.1692031143482569,0.0,10,-0.26917018905850026,0.0006874547467527245,10,0.10173287488048006,0.023975198607262195,10,0.08664500713348386,0.009947664539195522,10,1.7788351277248666,0.016053491786141537,10,0.39678002623274333,0.01814644655054452,10,1.4578509205576033,0.26039698884677465,10,0.19137066937415723,0.03771670569753089,10,2.7,1.0593499054713802,10,0.0,0.0,10,1.1563590548179449e-13,2.2503583178192733e-13,10,0.101970979937369,0.025941706469893556,10,0.39686434469010734,0.018164831029579692,10,0.4387951544150126,0.01908313624289379,10,0.5158399671965312,0.007705920688858846,10,1.1485396644042902,0.37831799543511296,10,68615.0,539.6953873354018,10,5187.5064465,2247.286243844669,10,0.00489717910095346,0.003681312711793867,10,484.2,393.622153848078,10,128.0,0.0,10,4.0,0.0,10,1.5,0.0,10
medium,1.1692031143482569,0.0,10,-0.2691032697744987,0.0008099258876683717,10,0.09642106094750133,0.023667334844661266,10,0.11109088435769077,0.03180756085329219,10,1.7409734634790577,0.03683700354845916,10,0.39236617133986923,0.02586885378095944,10,1.6098272632378472,0.42474345378385703,10,0.18981430915719602,0.05908889410243834,10,2.6,0.8432740427115678,10,0.0,0.0,10,0.00023116450693536728,0.0007310063533522702,10,0.09693494999048732,0.02369031661718352,10,0.39247689044962153,0.02588992855435375,10,0.4558722855275719,0.03318940537614249,10,0.5141326855363447,0.007606969527851173,10,10.082260911243758,3.502789383862401,10,9607.0,269.84769366770104,10,4277.7564706,2433.9285318087896,10,0.00783570187631989,0.006817968087170802,10,484.2,393.622153848078,10,64.0,0.0,10,3.0,0.0,10,1.5,0.0,10
small,1.1692031143482569,0.0,10,-0.2685469991733818,0.0007465000797321668,10,0.08997228793297943,0.02583239367013147,10,0.09801191762089725,0.04180208985552671,10,1.726616741272851,0.08622736773543395,10,0.42768453099532133,0.03472569558383474,10,1.4238052048734464,0.3046102219515739,10,0.17997351952963775,0.03594759966053801,10,2.2,0.6324555320336759,10,0.0,0.0,10,1.5115546510280193e-05,4.779954835780433e-05,10,0.08977431323904081,0.025467732926774164,10,0.4278659100159177,0.03479336491462543,10,0.44813759401292474,0.023323447497716105,10,0.5120599713868442,0.00830284579019564,10,182.9882091589306,171.69202667123218,10,1703.0,1248.0455832131204,10,2426.8928533999997,647.4053251074154,10,0.00878754514269525,0.006034171187858903,10,484.2,393.622153848078,10,32.0,0.0,10,2.0,0.0,10,1.5,0.0,10
xlarge,1.1667608346162974,0.007723166636257384,10,-0.2687103934757599,0.0005282371101458238,10,0.09347863813507938,0.01618217301026191,10,0.09231810495257375,0.01445152878748432,10,1.7529965479037017,0.030201578091963596,10,0.3988414357516424,0.01967993019224503,10,1.3190183543487932,0.22618093029217806,10,0.18672187510858734,0.03863939226349367,10,2.7,0.8232726023485645,10,0.0,0.0,10,2.7614850870482257e-05,8.732579508284401e-05,10,0.0912766466038268,0.015277195762934879,10,0.3989871896341639,0.01980203434938685,10,0.4366733947052346,0.02371588454403952,10,0.5121777485247253,0.00689622788353942,10,0.21569719981518382,0.0801159363192737,10,268295.0,1079.3907746708098,10,6165.259040800001,1195.5010456660634,10,0.01365105998702342,0.02269767962997904,10,484.2,393.622153848078,10,256.0,0.0,10,4.0,0.0,10,1.5,0.0,10
