configuration,hypervolume_mean,hypervolume_std,r2_indicator_mean,r2_indicator_std,avg_pairwise_distance_mean,avg_pairwise_distance_std,spacing_mean,spacing_std,spread_mean,spread_std,tds_mean,tds_std,mpd_mean,mpd_std,mce_mean,mce_std,num_modes_mean,num_modes_std,pmd_mean,pmd_std,pfs_mean,pfs_std,pas_mean,pas_std,rbd_mean,rbd_std,fci_mean,fci_std,qds_mean,qds_std,der_mean,der_std,hidden_dim_mean,hidden_dim_std,num_layers_mean,num_layers_std,mode_coverage_entropy_mean,mode_coverage_entropy_std,pairwise_minimum_distance_mean,pairwise_minimum_distance_std,quality_diversity_score_mean,quality_diversity_score_std,num_seeds,hypervolume_rank,mode_coverage_entropy_rank,spacing_rank,r2_indicator_rank,avg_rank,rank_std
kl_uniform_01,1.1922250986686993,0.0016972773727199884,-0.270239830854505,0.00019760444618453874,0.4706322900244301,0.022991622995714976,0.1845640748739242,0.001818410818635276,1.5802184097909255,0.04145618881692388,0.5103608292222858,0.022188682350608467,0.9898174559175874,0.0421634434432085,0.5499432302217659,0.12305002753020902,3.0,1.0,0.0,0.0,0.00095502071407322,0.0002760953460940679,0.4706322900244301,0.022991622995714976,0.5124887553523988,0.021587487379830416,0.4146458670634393,0.01844893041928475,0.6344087299347306,0.007389787513979376,12.72634705398912,0.8152065867003283,128.0,0.0,4.0,0.0,0.5499432302217659,0.12305002753020902,0.0,0.0,0.6344087299347306,0.007389787513979376,5,1.0,1.0,1.0,3.0,1.5,1.0
kl_uniform_001,1.19155332630269,0.001371439256669241,-0.27016298102128006,0.00016532980897449032,0.470468236297506,0.022023936821436222,0.18369245231151576,0.0011189808464244692,1.563794669114144,0.047450201277191205,0.5122136184670926,0.01214579018408814,0.9208393332436312,0.02545124397709385,0.5452620750845202,0.1318481189483333,7.0,9.539392014169456,0.0,0.0,0.0076723357132734964,0.01546737606812741,0.470468236297506,0.022023936821436222,0.5142029592181174,0.01183574670239877,0.42435985363274076,0.023615062658336267,0.6343560010698275,0.007078761397664367,12.733237895774177,0.9910209134542741,128.0,0.0,4.0,0.0,0.5452620750845202,0.1318481189483333,0.0,0.0,0.6343560010698275,0.007078761397664367,5,2.0,2.0,2.0,2.0,2.0,0.0
none,1.1900080788765726,0.0029836191310775627,-0.2699779205956581,0.00034688525950803817,0.4690184203624724,0.017973378329764332,0.18284340798854823,0.0033486576875708493,1.5592367138021543,0.062477111845196456,0.5344885472725919,0.028632005376002086,0.9736457032232476,0.024925766038653176,0.5357760239506076,0.1360807345408864,3.6,1.6733200530681511,0.0,0.0,0.02436236226036194,0.023170758583829453,0.4690184203624724,0.017973378329764332,0.5359342819918669,0.026811454027537714,0.4182709609668235,0.013114380614685327,0.6338900125793117,0.005776862589912617,12.780070771647903,0.9407629296026196,128.0,0.0,4.0,0.0,0.5357760239506076,0.1360807345408864,0.0,0.0,0.6338900125793117,0.005776862589912617,5,3.0,3.0,3.0,1.0,2.5,1.0
