hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,capacity,hidden_dim,num_layers,conditioning,alpha,preference_sampling,loss
1.1800591966453429,-0.2688443101773961,0.1057271748434442,0.0881794244050979,1.75875387269774,0.4120287979291376,1.4544796785140093,0.1616928826705887,3,0.0,0.0002761484207227,0.106299771144193,0.4122530062530136,0.4400791088977016,0.5171237838283064,0.2296946478983597,267271,6199.924685,0.0060715139843523,1011,xlarge_concat_seed1011,xlarge,256,4,concat,1.5,dirichlet,trajectory_balance
1.1778839942993944,-0.2685928299995233,0.1194909318315539,0.119405522942543,1.7842762725459236,0.4019993533089028,1.6448128030025253,0.2423725432903845,2,0.0,7.831961934945404e-13,0.1169445748827811,0.4020303030303074,0.4294313433892784,0.5215476228741682,0.2634968964364224,267271,6108.155797,0.0035213422961533,123,xlarge_concat_seed123,xlarge,256,4,concat,1.5,dirichlet,trajectory_balance
1.1734945536488595,-0.2680909681331855,0.0981039463164641,0.0812469869852066,1.805485710986308,0.4335678527939385,0.9806602281202044,0.2195726325856516,2,0.0,0.0,0.0979263760403935,0.4339834856501592,0.4275188413119448,0.5146735853801416,0.199527500909416,267271,6622.689238,0.0064654881134629,42,xlarge_concat_seed42,xlarge,256,4,concat,1.5,dirichlet,trajectory_balance
1.1703522299589615,-0.2677330833888339,0.0663910244884386,0.1135092675685882,1.7169297314282377,0.3903825431034483,1.660947433286918,0.1550165889931511,2,0.0,3.900212198683251e-12,0.0653426113330396,0.390412846412849,0.4178621659634318,0.5044806662547617,0.1449739095623982,267271,6168.366668,0.0772006064653396,456,xlarge_concat_seed456,xlarge,256,4,concat,1.5,dirichlet,trajectory_balance
1.18135463759037,-0.268986017044596,0.0757849855394843,0.0706133171916008,1.7604598593142482,0.4291112250681493,1.1675833292064697,0.1742489835181511,2,0.0,1.6611029553692234e-12,0.0744729920329372,0.4294523007856369,0.4118855794270832,0.5074999996917603,0.1654491329953708,267271,6169.775173,0.0034808972850441,789,xlarge_concat_seed789,xlarge,256,4,concat,1.5,dirichlet,trajectory_balance
1.1821556871035772,-0.2690777251327956,0.108066877741718,0.0946373641490936,1.726552688369547,0.3830877297056801,1.1717273551210825,0.1918616286950139,3,0.0,1.563513914255479e-12,0.0983396250044883,0.3832630949297622,0.4820884146341464,0.5178757928216388,0.4052801002567827,269319,3564.288355,0.006421947851777,1011,xlarge_film_seed1011,xlarge,256,4,film,1.5,dirichlet,trajectory_balance
1.1821556871035772,-0.2690777251327956,0.0980746974778323,0.090580977499485,1.7817283793541232,0.3879055848374965,1.1730787196341093,0.2493636124062301,2,0.0,1.4243286916969398e-12,0.0945748227326018,0.387937269800911,0.4448912855822644,0.5146641844473515,0.1817059676155462,269319,7214.783344,0.0048512858338654,123,xlarge_film_seed123,xlarge,256,4,film,1.5,dirichlet,trajectory_balance
1.179116793553135,-0.2687173787211303,0.0791602570707878,0.0838594138622284,1.739761114443614,0.386835326959125,1.1521647955982584,0.1379259892123999,4,0.0,7.855035395363442e-11,0.078926618772677,0.3869536322263661,0.4444648075180468,0.4984927880419045,0.1458669395777005,269319,7254.138319,0.008832742460072,42,xlarge_film_seed42,xlarge,256,4,film,1.5,dirichlet,trajectory_balance
1.1861610510823388,-0.2695559980102786,0.0889492756878535,0.0906150043010711,1.7362940397760431,0.3841758419470911,1.3914229708976829,0.1818908452469871,3,0.0,2.1701143429477492e-14,0.0897070503814498,0.3842448539115276,0.4637806724028044,0.5117311627978599,0.1581883023837303,269319,7516.29052,0.0027290452271699,456,xlarge_film_seed456,xlarge,256,4,film,1.5,dirichlet,trajectory_balance
1.1764448586011462,-0.2684278990170645,0.0950372103532171,0.0905337706208229,1.719723810121231,0.3793201018634544,1.3933062301066717,0.1532730444673153,4,0.0,7.77135356635497e-14,0.0902320237137066,0.3793411033411064,0.4047317279256444,0.5136878991093595,0.2627886005161115,269319,4834.178309,0.0169357303529977,789,xlarge_film_seed789,xlarge,256,4,film,1.5,dirichlet,trajectory_balance
1.1734945536488595,-0.2680909681331855,0.1093024221169546,0.0839743614196777,1.7912095224598594,0.414237562356748,1.4610376430786076,0.2129097813401395,2,0.0,0.0,0.1066088339842665,0.4143945078490591,0.4319390287132223,0.5182729118244509,1.7676458132967894,68103,3268.667872,0.0136545710265636,1011,large_concat_seed1011,large,128,4,concat,1.5,dirichlet,trajectory_balance
1.1778718423767327,-0.2685928299995233,0.1612578751020811,0.1061834618449211,1.80616266966572,0.4103065795865493,1.1689799917812354,0.1836975661363757,4,0.0,1.9461160557620905e-13,0.1689148005390726,0.4104639249639254,0.4348587920016491,0.5349720268814517,1.0165362515377363,68103,8385.603414,0.0034422925673425,123,large_concat_seed123,large,128,4,concat,1.5,dirichlet,trajectory_balance
1.1861458917991003,-0.2695559980102786,0.0995953347464667,0.0829739198088646,1.7787868277856704,0.3967937491580223,1.6475752620491717,0.2110726285070972,2,0.0,3.4438547304040266e-15,0.0985397363575317,0.3968778696051468,0.4383255092297899,0.5151529357766135,0.6234235143680048,68103,8444.852607,0.0071937181055545,42,large_concat_seed42,large,128,4,concat,1.5,dirichlet,trajectory_balance
