,hypervolume,hypervolume,hypervolume,tds,tds,tds,mpd,mpd,mpd,mce,mce,mce,pmd,pmd,pmd,pas,pas,pas,fci,fci,fci,qds,qds,qds,der,der,der,rbd,rbd,rbd
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
exp_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pref_dirichlet_high,1.1692031143482569,,1,0.41100890973429893,,1,1.4707798479000354,,1,0.1817996955723573,,1,0.0,,1,0.11078589378079236,,1,0.4202702706239359,,1,0.5187497176759044,,1,2.492387117823218,,1,0.4111357966388324,,1
pref_dirichlet_low,1.1692031143482569,,1,0.41100890973429893,,1,1.4707798479000354,,1,0.1817996955723573,,1,0.0,,1,0.11078589378079236,,1,0.4202702706239359,,1,0.5187497176759044,,1,2.4792364046716306,,1,0.4111357966388324,,1
pref_dirichlet_medium,1.1692031143482569,,1,0.41100890973429893,,1,1.4707798479000354,,1,0.1817996955723573,,1,0.0,,1,0.11078589378079236,,1,0.4202702706239359,,1,0.5187497176759044,,1,2.4659868655828965,,1,0.4111357966388324,,1
pref_uniform,1.1692031143482569,,1,0.41100890973429893,,1,1.4707798479000354,,1,0.1817996955723573,,1,0.0,,1,0.11078589378079236,,1,0.4202702706239359,,1,0.5187497176759044,,1,2.492139513765006,,1,0.4111357966388324,,1
