,hypervolume,hypervolume,tds,tds,mce,mce,pmd,pmd,qds,qds,der,der
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
capacity,,,,,,,,,,,,
large,1.1692031143482569,0.0,0.39678002623274333,0.01814644655054452,0.19137066937415723,0.03771670569753089,0.0,0.0,0.5158399671965312,0.007705920688858846,1.1485396644042902,0.37831799543511296
medium,1.1692031143482569,0.0,0.39236617133986923,0.02586885378095944,0.18981430915719602,0.05908889410243834,0.0,0.0,0.5141326855363447,0.007606969527851173,10.082260911243758,3.502789383862401
small,1.1692031143482569,0.0,0.42768453099532133,0.03472569558383474,0.17997351952963775,0.03594759966053801,0.0,0.0,0.5120599713868442,0.00830284579019564,182.9882091589306,171.69202667123218
xlarge,1.1667608346162974,0.007723166636257384,0.3988414357516424,0.01967993019224503,0.18672187510858734,0.03863939226349367,0.0,0.0,0.5121777485247253,0.00689622788353942,0.21569719981518382,0.0801159363192737
