conditioning,hypervolume_mean,hypervolume_std,hypervolume_count,r2_indicator_mean,r2_indicator_std,r2_indicator_count,avg_pairwise_distance_mean,avg_pairwise_distance_std,avg_pairwise_distance_count,spacing_mean,spacing_std,spacing_count,spread_mean,spread_std,spread_count,tds_mean,tds_std,tds_count,mpd_mean,mpd_std,mpd_count,mce_mean,mce_std,mce_count,num_modes_mean,num_modes_std,num_modes_count,pmd_mean,pmd_std,pmd_count,pfs_mean,pfs_std,pfs_count,pas_mean,pas_std,pas_count,rbd_mean,rbd_std,rbd_count,fci_mean,fci_std,fci_count,qds_mean,qds_std,qds_count,der_mean,der_std,der_count,num_parameters_mean,num_parameters_std,num_parameters_count,training_time_mean,training_time_std,training_time_count,final_loss_mean,final_loss_std,final_loss_count,seed_mean,seed_std,seed_count,hidden_dim_mean,hidden_dim_std,hidden_dim_count,num_layers_mean,num_layers_std,num_layers_count,alpha_mean,alpha_std,alpha_count
concat,1.1787886640943763,0.006366812372683592,20,-0.26870027616380265,0.0007329157775223428,20,0.09213932877408593,0.02517588670384852,20,0.10162706226110456,0.036106337688459875,20,1.7492417514426015,0.06269331490683006,20,0.4217504099412688,0.025170226683532096,20,1.4617784336964859,0.26007700634107805,20,0.17524415015663358,0.029823740308339026,20,2.3,0.6569466853317864,20,0.0,0.0,20,1.3807421487930937e-05,6.174866395517516e-05,20,0.09270426508366189,0.025795929803268596,20,0.42188521299127935,0.025245839342662762,20,0.4341442684476049,0.016801258962722956,20,0.5127564846931417,0.008091836459398025,20,85.37553286440588,153.43451740448938,20,86311.0,110454.99408308677,20,4192.2274507,2533.7168694429683,20,0.01033609605874512,0.016691774690088926,20,484.2,383.1236711147212,20,120.0,88.01913667522894,20,3.25,0.8506963092234009,20,1.5,0.0,20
film,1.181996640328657,0.005962401053072056,20,-0.2690651495772677,0.0006837674835999693,20,0.09866310217393418,0.018990125886917977,20,0.09240589477121827,0.01665387647804485,20,1.750469188747637,0.03950367679952071,20,0.38608567221851936,0.018235492297902535,20,1.4434724378123591,0.37522827412698895,20,0.19869603642815556,0.05008342389433471,20,2.8,0.9514531821875089,20,0.0,0.0,20,0.00012314003072795188,0.0005162252423505345,20,0.09727417980170008,0.01937020787553019,20,0.38621195440362593,0.0183174152894678,20,0.455594945882767,0.028601286291844556,20,0.514348701629081,0.007000445953141474,20,11.841820602791024,16.86960097968298,20,87799.0,110718.01762752267,20,4836.47995495,1852.4459715214164,20,0.0072496469947508895,0.005194565463047738,20,484.2,383.1236711147212,20,120.0,88.01913667522894,20,3.25,0.8506963092234009,20,1.5,0.0,20
