capacity,conditioning,hypervolume_mean,hypervolume_std,hypervolume_count,r2_indicator_mean,r2_indicator_std,r2_indicator_count,avg_pairwise_distance_mean,avg_pairwise_distance_std,avg_pairwise_distance_count,spacing_mean,spacing_std,spacing_count,spread_mean,spread_std,spread_count,tds_mean,tds_std,tds_count,mpd_mean,mpd_std,mpd_count,mce_mean,mce_std,mce_count,num_modes_mean,num_modes_std,num_modes_count,pmd_mean,pmd_std,pmd_count,pfs_mean,pfs_std,pfs_count,pas_mean,pas_std,pas_count,rbd_mean,rbd_std,rbd_count,fci_mean,fci_std,fci_count,qds_mean,qds_std,qds_count,der_mean,der_std,der_count,num_parameters_mean,num_parameters_std,num_parameters_count,training_time_mean,training_time_std,training_time_count,final_loss_mean,final_loss_std,final_loss_count,seed_mean,seed_std,seed_count,hidden_dim_mean,hidden_dim_std,hidden_dim_count,num_layers_mean,num_layers_std,num_layers_count,alpha_mean,alpha_std,alpha_count
large,concat,1.1804977381015758,0.00587713565059439,5,-0.26889896494733784,0.0006809027297812477,5,0.10977984710013486,0.029945543669420992,5,0.08545386791229245,0.01210156136664905,5,1.7886709773552725,0.010743009833503788,5,0.40943357928897794,0.014550207393806356,5,1.5189828157806056,0.305975841185955,5,0.18537570264721304,0.030337882300959084,5,2.6,0.8944271909999159,5,0.0,0.0,5,1.8620226120290375e-13,3.1459728618553487e-13,5,0.11168160845535013,0.032556243804710415,5,0.409518079787782,0.014550195991454084,5,0.4317731973936545,0.005078589309097785,5,0.5184263620258667,0.009624862270438884,5,1.0841511000591175,0.5228303337863429,5,68103.0,0.0,5,6353.8186221999995,2821.7030021017295,5,0.00590765992237716,0.005031693727215117,5,484.2,417.4993413168457,5,128.0,0.0,5,4.0,0.0,5,1.5,0.0,5
large,film,1.185299262317883,0.005627462585798496,5,-0.2694414131696627,0.0006448269079844007,5,0.09368590266082526,0.015320014463531387,5,0.08783614635467527,0.00852386343704568,5,1.7689992780944603,0.01491930767578394,5,0.38412647317650866,0.011354332999183087,5,1.396719025334601,0.22271247075031136,5,0.19736563610110142,0.04680278925306794,5,2.8,1.3038404810405297,5,0.0,0.0,5,4.506954976068528e-14,5.0220052701237905e-14,5,0.09226035141938789,0.014783014799946856,5,0.38421060959243275,0.011419794702822979,5,0.4458171114363708,0.0258903829548912,5,0.5132535723671959,0.004924039143199575,5,1.2129282287494632,0.19573926990865945,5,69127.0,0.0,5,4021.1942708,21.135963551462225,5,0.00388669827952976,0.001619111451962234,5,484.2,417.4993413168457,5,128.0,0.0,5,4.0,0.0,5,1.5,0.0,5
medium,concat,1.1793510335722444,0.008476981424903725,5,-0.2687647490662908,0.0009782519846399753,5,0.08040650671231396,0.00891603436625846,5,0.1219303339719772,0.042356242609473856,5,1.748257933426126,0.024270903547345745,5,0.4135330772796997,0.010788557301661611,5,1.5446584431844186,0.1455365940738667,5,0.16731875855612452,0.02399348936834113,5,2.0,0.0,5,0.0,0.0,5,2.4387805635595137e-13,3.335343247862721e-13,5,0.08189493542777912,0.008998523107624867,5,0.413614638560097,0.010836451769582013,5,0.4309237651084657,0.012177333089262679,5,0.5089854128557171,0.0028657219825789426,5,13.17505755254975,1.1629000222995853,5,9351.0,0.0,5,2346.9503958,86.69060545874224,5,0.01075841719284648,0.008706728890385717,5,484.2,417.4993413168457,5,64.0,0.0,5,3.0,0.0,5,1.5,0.0,5
medium,film,1.1852117836590836,0.0042422242375015785,5,-0.2694417904827066,0.00048216931957931154,5,0.11243561518268871,0.02323059673708937,5,0.10025143474340434,0.013732684693332897,5,1.73368899353199,0.0482849391988515,5,0.37119926540003867,0.01640752432730692,5,1.6749960832912751,0.6116513839312612,5,0.21230985975826747,0.07755679944323722,5,3.2,0.8366600265340756,5,0.0,0.0,5,0.0004623290136268565,0.0010337990987412957,5,0.11197496455319556,0.02482521832664836,5,0.371339142339146,0.01654415988580908,5,0.48082080594667814,0.027822622033627,5,0.5192799582169723,0.007466596583548144,5,6.9894642699377645,1.529913781647388,5,9863.0,0.0,5,6208.5625454,2000.368144394361,5,0.0049129865597933005,0.002725391689363889,5,484.2,417.4993413168457,5,64.0,0.0,5,3.0,0.0,5,1.5,0.0,5
small,concat,1.1786769622750994,0.007418282579228575,5,-0.2686879488928751,0.000849137370611313,5,0.08527134868001787,0.030655008780834773,5,0.10453314334154126,0.0538079626898537,5,1.6948570055945171,0.10445426212926286,5,0.450617028755682,0.030821731458481043,5,1.401775781394894,0.3024876299785216,5,0.15770141321161135,0.019263305150726592,5,2.4,0.8944271909999159,5,0.0,0.0,5,1.0820116662633241e-13,1.6786134791065603e-13,5,0.08504325136484939,0.02966706261741669,5,0.45078174519084513,0.030944396068883016,5,0.4485247034904115,0.025938420703868776,5,0.5105490322851555,0.009852892993755184,5,327.04229438745426,119.80890134751425,5,519.0,0.0,5,1814.3584726000001,57.20846792453736,5,0.0053303374908864,0.00410762963150356,5,484.2,417.4993413168457,5,32.0,0.0,5,2.0,0.0,5,1.5,0.0,5
small,film,1.176268699848907,0.006124083260400061,5,-0.2684060494538885,0.0006950820078296569,5,0.09467322718594098,0.0225050356173083,5,0.09149069190025325,0.030497053965420667,5,1.758376476951185,0.05741700729702044,5,0.4047520332349605,0.021177549128416913,5,1.445834628351999,0.3406752360050617,5,0.20224562584766415,0.036004521912025356,5,2.0,0.0,5,0.0,0.0,5,3.0231092912359215e-05,6.759876844025457e-05,5,0.09450537511323223,0.022875100556654974,5,0.4049500748409903,0.021293347369686768,5,0.4477504845354379,0.02346882835107731,5,0.5135709104885329,0.007233392407201635,5,38.9341239304069,9.629150061332387,5,2887.0,0.0,5,3039.4272342,42.21369140295492,5,0.0122447527945041,0.005930591561636111,5,484.2,417.4993413168457,5,32.0,0.0,5,2.0,0.0,5,1.5,0.0,5
xlarge,concat,1.1766289224285857,0.004606937876695241,5,-0.268449441748707,0.0005258485873783116,5,0.09309961260387703,0.021760890400540626,5,0.09459090381860731,0.021022378876002338,5,1.7651810893944915,0.0330941128252874,5,0.4134179544407153,0.01813312941641134,5,1.3816966944260254,0.2996594754851953,5,0.1905807262115854,0.03836979323462559,5,2.2,0.447213595499958,5,0.0,0.0,5,5.522968541344227e-05,0.00012349732741369585,5,0.09219726508666888,0.021676340875929085,5,0.4136263884263932,0.01830365275909686,5,0.42535540779788794,0.010904884445973522,5,0.5130651316058277,0.006994215075854373,5,0.2006284175603934,0.0477846987086964,5,267271.0,0.0,5,6253.7823122,208.89774864200055,5,0.01934796962887044,0.03237049702623128,5,484.2,417.4993413168457,5,256.0,0.0,5,4.0,0.0,5,1.5,0.0,5
xlarge,film,1.1812068154887547,0.003653409027551561,5,-0.2689713452028129,0.00042552468051409694,5,0.09385766366628175,0.010737580062286428,5,0.0900453060865402,0.0038795089051386674,5,1.7408120064129118,0.02420591944662285,5,0.38426491706256943,0.003380324344146569,5,1.256340014271561,0.12445016162092251,5,0.18286302400558924,0.04300916257208003,5,3.2,0.8366600265340756,5,0.0,0.0,5,1.6327522247735974e-11,3.479115545223024e-11,5,0.0903560281209847,0.007290473140062956,5,0.3843479908419346,0.0033885413263757135,5,0.4479913816125813,0.0287461054835567,5,0.5112903654436228,0.007491177573650508,5,0.23076598206997426,0.10766020337348298,5,269319.0,0.0,5,6076.7357694,1775.534284261606,5,0.0079541503451764,0.005493583522888368,5,484.2,417.4993413168457,5,256.0,0.0,5,4.0,0.0,5,1.5,0.0,5
