configuration,hypervolume_mean,hypervolume_std,r2_indicator_mean,r2_indicator_std,avg_pairwise_distance_mean,avg_pairwise_distance_std,spacing_mean,spacing_std,spread_mean,spread_std,tds_mean,tds_std,mpd_mean,mpd_std,mce_mean,mce_std,num_modes_mean,num_modes_std,pmd_mean,pmd_std,pfs_mean,pfs_std,pas_mean,pas_std,rbd_mean,rbd_std,fci_mean,fci_std,qds_mean,qds_std,der_mean,der_std,hidden_dim_mean,hidden_dim_std,num_layers_mean,num_layers_std,mode_coverage_entropy_mean,mode_coverage_entropy_std,pairwise_minimum_distance_mean,pairwise_minimum_distance_std,quality_diversity_score_mean,quality_diversity_score_std,num_seeds,hypervolume_rank,mode_coverage_entropy_rank,spacing_rank,r2_indicator_rank,avg_rank,rank_std
none,1.1893764304472074,0.0022392376391759125,-0.2699124944207268,0.0002600532911339582,0.4726081895075328,0.020666456865997027,0.18414200544357295,0.001909647630115863,1.5483710097797014,0.04854847709690891,0.5252027931816855,0.027714846911381954,0.9538475814212717,0.05553147731150492,0.5036165411290002,0.1076700281810897,6.0,6.2048368229954285,0.0,0.0,0.0008108193351871,0.00029486069673052243,0.4726081895075328,0.020666456865997027,0.5266371592492864,0.02636118435363333,0.4360420804490759,0.012441636655590484,0.635043808081751,0.006642450815020827,12.752616729441524,0.9946055152442389,128.0,0.0,4.0,0.0,0.5036165411290002,0.1076700281810897,0.0,0.0,0.635043808081751,0.006642450815020827,5,5.0,1.0,1.0,1.0,2.0,2.0
entropy_005,1.1940955424441324,1.0581339232543668e-05,-0.2704561490660364,0.0,0.46025025801957326,0.0056790924137559515,0.1622847348451614,0.00354046159719966,1.4118940380548157,0.01517361698613286,0.5864718092966245,0.009439226511653315,0.9640466473528327,0.05824138652924384,0.4669502746118449,0.008799960896617737,16.4,5.504543577809154,0.0,0.0,0.00208247945479576,0.0004985796960629554,0.46025025801957326,0.0056790924137559515,0.5828834410258729,0.008583309959613147,0.4505421816715719,0.01510065977152516,0.631071818465126,0.001825329434887225,9.515615722640513,0.16431434447093796,128.0,0.0,4.0,0.0,0.4669502746118449,0.008799960896617737,0.0,0.0,0.631071818465126,0.001825329434887225,5,1.0,2.0,3.0,4.0,2.5,1.2909944487358056
entropy_001,1.190981147672859,7.36071968926959e-05,-0.27009620947832935,1.711099633407308e-05,0.4906772972120838,0.008132055828143907,0.17757622301578518,0.0037227231812378605,1.4823014490673436,0.03167704994703335,0.583607453109344,0.01977697327972928,0.9086557387704227,0.043912017190149415,0.4581947594830761,0.0189585493471805,15.0,12.328828005937952,0.0,0.0,0.0062624706059609195,0.011924779378558162,0.4906772972120838,0.008132055828143907,0.5801043785619623,0.015407751950765538,0.4229362808081346,0.018174225670743623,0.6408514392580592,0.0026137417368491743,9.427070090241056,0.3237468693946572,128.0,0.0,4.0,0.0,0.4581947594830761,0.0189585493471805,0.0,0.0,0.6408514392580592,0.0026137417368491743,5,4.0,4.0,2.0,2.0,3.0,1.1547005383792515
entropy_01,1.1940952565375977,9.295412458628604e-06,-0.2704561490660364,0.0,0.4515800264612264,0.006065984079282503,0.158090928196907,0.002803254843836632,1.4158672110412,0.022514549082736826,0.5892076322756598,0.019818014732651577,0.9622651524633368,0.05612569995474726,0.46517669627792363,0.019014658102895123,10.2,6.180614856144977,0.0,0.0,0.0021272970587552,0.00048050469069620306,0.4515800264612264,0.006065984079282503,0.5851265071628788,0.01565128624168227,0.4255205420631272,0.015880756621273067,0.628285100497233,0.0019496811259228956,10.49012096567001,0.5594963512400178,128.0,0.0,4.0,0.0,0.46517669627792363,0.019014658102895123,0.0,0.0,0.628285100497233,0.0019496811259228956,5,2.0,3.0,4.0,4.0,3.25,0.9574271077563381
entropy_05,1.1922473482997002,0.0016938358481382915,-0.27024339321165,0.00019435471334186972,0.3090057098918736,0.011462949567663526,0.11003675311803814,0.004867714664604407,1.3820671037399834,0.022310114943035534,0.6236916339420663,0.035537324067852816,0.9047659294070574,0.06156647915980031,0.31259219420006745,0.07170237708941272,8.4,9.838699100999074,0.0,0.0,0.0016645015381335,0.0008522906175630424,0.3090057098918736,0.011462949567663526,0.598703175500147,0.01685454989614099,0.5033463190625661,0.033518066630271064,0.5824599795566753,0.003684331532588327,8.380012792387223,0.32658404064915203,128.0,0.0,4.0,0.0,0.31259219420006745,0.07170237708941272,0.0,0.0,0.5824599795566753,0.003684331532588327,5,3.0,5.0,5.0,3.0,4.0,1.1547005383792515
