hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,capacity,hidden_dim,num_layers,group
1.1909610166891182,-0.2700896814515758,0.4972085241175081,0.1823450475931167,1.4795876603946505,0.5660990330726119,0.937455185268786,0.4322547136425926,17,0.0,0.08370613729986934,0.4972085241175081,0.5657090933757629,0.4231161738746689,0.642950655091829,13.995807945617017,68103,1877.918968,0.0025787267368286,42,none_seed42,medium,128,4,entropy_regularization
1.1866810642691783,-0.2695956055832782,0.4434325084813804,0.1818910092115402,1.6121861721551949,0.53010217973889,0.9676914784596372,0.499799315160242,3,0.0,0.10345800520386274,0.4434325084813804,0.5325342110190694,0.4353380503144655,0.6256663890366019,11.554645270361595,68103,2028.650203,0.0016286004101857,153,none_seed153,medium,128,4,entropy_regularization
1.1871816072905503,-0.2696621985941786,0.4639224008635628,0.1847714781761169,1.5536901398964638,0.4945966613282546,1.0378507647123754,0.6901020882407326,2,0.0,0.03342076970850221,0.4639224008635628,0.4973892644953308,0.4246582031249999,0.6322520898771582,12.199846432002971,68103,2010.144309,0.0007540286751464,264,none_seed264,medium,128,4,entropy_regularization
1.191023156032264,-0.2701074932373006,0.4725813868584563,0.1856904178857803,1.5654573412366262,0.530332998760111,0.8857281952091752,0.4358630630808507,4,0.0,0.14143465328621935,0.4725813868584563,0.5297137340773755,0.4506896021328959,0.635035193384062,12.48584338044306,68103,2000.759957,0.0010765418410301,375,none_seed375,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.4858961272167564,0.1860120743513107,1.530933735215572,0.5048830930085598,0.9405122834563844,0.4600635255205833,4,0.0,0.040828038766846285,0.4858961272167564,0.5078394932788938,0.4464083727983494,0.6393147130191039,13.526940618782977,68103,1898.803884,0.0015378111274912,486,none_seed486,medium,128,4,entropy_regularization
1.191023156032264,-0.2701074932373006,0.5011258369913646,0.1806938797235489,1.5316686282204808,0.6027653585030635,0.882010206292021,0.4521910703417051,4,0.0,0.08979836877217665,0.5011258369913646,0.5937556265283626,0.4509448368009161,0.6442097271359806,9.977528613260995,68103,2654.972763,-0.0570709332823753,42,entropy_001_seed42,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.4860192239431558,0.1722950786352157,1.464498243961736,0.5993441358024691,0.9023723151663864,0.4551021153658485,16,0.0,0.11357094484177765,0.4860192239431558,0.5912696966333391,0.4309070726292421,0.639354277805458,9.315010006126617,68103,2758.076953,-0.0553542859852314,153,entropy_001_seed153,medium,128,4,entropy_regularization
1.1910353079549256,-0.2701074932373006,0.4824872545810313,0.1759975403547287,1.461973484161044,0.5830500130763195,0.9838582083231414,0.4393182800074849,17,0.0,0.05464930773788879,0.4824872545810313,0.5820571779511261,0.4160242901508428,0.6382190598568664,9.233147326625062,68103,2762.309503,-0.0593375265598297,264,entropy_001_seed264,medium,128,4,entropy_regularization
1.1909430055728751,-0.2700896814515758,0.4975204848149218,0.1814881712198257,1.4964738383264946,0.5530221812855783,0.9019179195689692,0.4542293269620175,4,0.0,0.11101456987515,0.4975204848149218,0.5549625385837604,0.407184829059829,0.6430509230575585,9.439360832462707,68103,2786.150913,-0.0588607862591743,375,entropy_001_seed375,medium,128,4,entropy_regularization
1.1908689608493035,-0.2700688862281691,0.4862336857299457,0.177406445145607,1.456893050666963,0.5798555768792896,0.8731200445015959,0.4901330047383244,34,0.0,0.04683488619614483,0.4862336857299457,0.5784768531132234,0.4096203753998431,0.6394232084344327,9.170303672729904,68103,2802.835328,-0.0658650547266006,486,entropy_001_seed486,medium,128,4,entropy_regularization
