configuration,hypervolume_mean,hypervolume_std,r2_indicator_mean,r2_indicator_std,avg_pairwise_distance_mean,avg_pairwise_distance_std,spacing_mean,spacing_std,spread_mean,spread_std,tds_mean,tds_std,mpd_mean,mpd_std,mce_mean,mce_std,num_modes_mean,num_modes_std,pmd_mean,pmd_std,pfs_mean,pfs_std,pas_mean,pas_std,rbd_mean,rbd_std,fci_mean,fci_std,qds_mean,qds_std,der_mean,der_std,hidden_dim_mean,hidden_dim_std,num_layers_mean,num_layers_std,num_seeds,mce_rank,avg_pairwise_distance_rank,hypervolume_rank,pfs_rank,qds_rank,avg_rank,rank_std
detailed_balance,0.09224735051393503,0.004694983328316235,-0.2701594186641351,0.000167007682269341,0.46900072983954216,0.019939517636134822,0.18148995041847224,0.0032045842868664597,1.5167706506300054,0.06532871697223147,0.5180611798500938,0.030030089500403236,0.9758097663113035,0.05705376867776382,0.444997008434992,0.07039835071774525,42.0,6.442049363362563,0.0,0.0,0.00722423409807754,0.014369957184070276,0.46900072983954216,0.019939517636134822,0.5190270933331596,0.03132717571220266,0.4117434998489936,0.01244814698539944,0.6338843266298906,0.006408803697318045,10.538013213721712,1.7554830062354831,128.0,0.0,4.0,0.0,5,3.0,5.0,4.0,4.0,5.0,4.2,0.8366600265340756
flow_matching,0.08086284236051137,0.009060336394713887,-0.26987977250357625,0.0005077201431700261,0.052559279205923314,0.00822386067364297,0.02172233946621414,0.005638006862760894,1.3920411301750475,0.04192572846738449,0.6135612425518981,0.02331159305359613,0.8346048502992858,0.021908523621814027,0.4423400605800146,0.014281835730437908,20.8,2.949576240750525,0.0,0.0,0.001940921871502,0.001095218884873609,0.052559279205923314,0.00822386067364297,0.518508599032841,0.010861787449769407,0.6968984687526575,0.024363504867632606,0.5000349749434383,0.0026432489317574337,4.51324102013488,1.1013346460216447,128.0,0.0,4.0,0.0,5,4.0,6.0,6.0,6.0,6.0,5.6,0.8944271909999157
subtrajectory_balance_05,0.09341486375778907,0.006683773500270394,-0.2700733193583072,0.00028112895468661775,0.48140662377673876,0.015550828497276428,0.1824780315160751,0.004368564809525544,1.5284631071276635,0.04226999731385098,0.5523287154818701,0.016555285323947917,0.9686838861161455,0.0379736258356778,0.4531738018645254,0.06488498933186765,41.0,5.873670062235365,0.0,0.0,0.00627265931744288,0.011745566351815534,0.48140662377673876,0.015550828497276428,0.5515078483805798,0.015230188541315984,0.4287385680927012,0.02122576487810993,0.63787173196156,0.0049982255834059835,24.981506793809963,1.2293587582727714,128.0,0.0,4.0,0.0,5,2.0,2.0,2.0,5.0,2.0,2.6,1.3416407864998738
subtrajectory_balance_09,0.0935525963082909,0.00505730128765177,-0.27008076667467673,1.744432160123788e-05,0.4749860101769084,0.012367265703247655,0.18289884626865385,0.004471008903016424,1.5466845644050777,0.05794738375380342,0.5170919508273968,0.02311462748761245,0.9866992317299378,0.0571241252665293,0.42877427512273,0.0679525150044751,40.2,5.890670590009257,0.0,0.0,0.01561173022923626,0.013601123978515503,0.4749860101769084,0.012367265703247655,0.5188458806064971,0.022978458293909015,0.42676971303061306,0.012071586537229728,0.6358080685907332,0.0039749897470464915,14.077511786308088,0.8044836740295517,128.0,0.0,4.0,0.0,5,5.0,3.0,1.0,1.0,3.0,2.6,1.6733200530681511
subtrajectory_balance_095,0.09213204709812993,0.006361033500156376,-0.2702226767103329,0.00036031014929182464,0.4833775711270599,0.00658017937015126,0.1832712292671203,0.004319161748930084,1.5166122919890446,0.034962193695224734,0.5258266468992977,0.03018884075042516,0.9612561636185752,0.04374330876570042,0.4611115642613921,0.046055211867386106,42.0,3.082207001484488,0.0,0.0,0.0077475797597795605,0.01353839576776665,0.4833775711270599,0.00658017937015126,0.5278331403725389,0.029029887561631752,0.41713579486343144,0.018119970740724835,0.6385052184328207,0.002114949751844406,11.486757830395288,1.0633961142197361,128.0,0.0,4.0,0.0,5,1.0,1.0,5.0,2.0,1.0,2.0,1.7320508075688772
trajectory_balance,0.09273571167141195,0.006361947779819183,-0.2699864340483879,0.0003424212272380896,0.4746682457129414,0.009049086307222056,0.18425543308258052,0.0010837635106240248,1.6404783355482393,0.02254711167950793,0.5490076615747763,0.01680180477261699,0.9183033360722526,0.012581319861739835,0.34784373434215665,0.016770780861805057,28.2,3.7013511046643495,0.0,0.0,0.00723000261007854,0.013556696872127651,0.4746682457129414,0.009049086307222056,0.5488267195206676,0.015387246232423378,0.44535385429151997,0.010213739208231064,0.6357059352237827,0.0029084864960813883,8.540852431904586,3.1973283865319764,128.0,0.0,4.0,0.0,5,6.0,4.0,3.0,3.0,4.0,4.0,1.224744871391589
