,mce,mce,mce,pas,pas,pas,qds,qds,qds,der,der,der
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
exp_name,,,,,,,,,,,,
pref_dirichlet_high,0.20011132664534323,0.0351780276476769,10,0.0945151586731824,0.020888689183128195,10,0.5135201053443221,0.006713878987040006,10,2.145985016653029,0.47549749601501107,10
pref_dirichlet_low,0.21341947480971912,0.023777079093464625,10,0.11224930952879053,0.015402590836702496,10,0.519220077311861,0.004950580194760951,10,2.556873517325517,0.35211970082866373,10
pref_dirichlet_medium,0.1817996955723573,0.10516570792029208,10,0.11078589378079236,0.029172873923994033,10,0.5187497176759044,0.009376516808343846,10,2.517709723169834,0.6656039947995402,10
pref_uniform,0.15167303628269677,0.09320321807451984,10,0.10545800313316711,0.029487169716618817,10,0.5170372687639243,0.009477535302099906,10,2.4004719385536903,0.6732678891936984,10
