,mce,mce,mce,pas,pas,pas,qds,qds,qds,der,der,der
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
exp_name,,,,,,,,,,,,
batch_256,0.16598978833825556,0.09511325330323743,10,0.1079879048509097,0.015668410430394863,10,0.5178504099731749,0.005036017848066415,10,1.2084045845215639,0.17871821573254845,10
batch_32,0.1792595479018862,0.026176267596338548,10,0.08242373179744303,0.012620294443546037,10,0.5096337735542964,0.004056316264364677,10,7.684778657026659,1.1758561636875329,10
batch_512,0.19891721245238608,0.013883523393642813,10,0.10891738245741214,0.03266639584838364,10,0.5181491553906834,0.010499377282416466,10,0.5982123294514889,0.18169380783882655,10
batch_64,0.19574119930173334,0.01818666240152594,10,0.09086104814422427,0.011847975724904045,10,0.5123456297378532,0.003808083626551475,10,4.168714316688735,0.5476385930280792,10
