,mce,mce,mce,pas,pas,pas,qds,qds,qds,der,der,der
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
exp_name,,,,,,,,,,,,
off_policy_10,0.4534427652226098,0.12264777481093893,10,0.4733950391340505,0.008767294049065366,10,0.6352967111302441,0.0028179150339775363,10,13.039593252273296,0.25534846479997625,10
off_policy_25,0.4225556005280283,0.07023525862681487,10,0.4388178437451316,0.012264915653453097,10,0.6241831796148273,0.003942093195108078,10,15.820416437690076,0.4300670117808366,10
off_policy_50,0.21806075858828997,0.032641115914520416,10,0.2150904247215601,0.01686702551759929,10,0.5522744636471312,0.005421267328155019,10,11.328396593929911,0.8699811409703962,10
on_policy_pure,0.1817996955723573,0.10516570792029208,10,0.11078589378079236,0.029172873923994033,10,0.5187497176759044,0.009376516808343846,10,2.5182985465079772,0.665894338182477,10
