,mce,mce,mce,pmd,pmd,pmd,pas,pas,pas,fci,fci,fci,qds,qds,qds,der,der,der,rbd,rbd,rbd
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
exp_name,,,,,,,,,,,,,,,,,,,,,
categorical,0.1817996955723573,,1,0.0,,1,0.11078589378079236,,1,0.4202702706239359,,1,0.5187497176759044,,1,2.514313084429811,,1,0.4111357966388324,,1
greedy,0.0,,1,0.0,,1,0.0,,1,0.3337721126912304,,1,0.044206719676202,,1,0.0,,1,0.26321346801347234,,1
top_k,0.2023549894815954,,1,0.0,,1,0.09511635633271817,,1,0.44157277272070355,,1,0.5137133375906362,,1,2.1381348144410657,,1,0.41143670908217034,,1
top_p,0.0,,1,0.0,,1,0.00109720641008332,,1,0.43299223215859584,,1,0.04455937517298893,,1,0.023069924051031022,,1,0.3799730639730681,,1
