hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,hidden_dim,num_layers,conditioning
1.1692031143482569,-0.26966219859417867,0.08899324744884053,0.07781098037958145,1.7710337815879962,0.38380096714664796,1.65568408098746,0.0,1,0.0,1.629504503147378e-13,0.08899324744884053,0.3838148148148196,0.4335881845363514,0.511745295857121,1.9634284005441351,68103,2395.952719,0.005966854747384787,42,temp_low_seed42,128,4,concat
1.1692031143482569,-0.26847467903296157,0.1639400679561889,0.10491085797548294,1.8000619632620387,0.433808719161879,1.1074606531990985,0.3038364185056191,2,0.0,2.99914706079448e-12,0.1639400679561889,0.43411804917866215,0.4074028326745718,0.5358341163158107,3.663761832046863,68103,2365.343039,0.003790784627199173,123,temp_low_seed123,128,4,concat
1.1692031143482569,-0.2689766610414166,0.1022076480053909,0.13671749830245972,1.787471618433782,0.42815669011707197,1.1603558828453664,0.21107262850709724,2,0.0,2.2671922247096457e-13,0.1022076480053909,0.4283011063011092,0.4026968125650854,0.5159925650584174,2.2947643305150005,68103,2354.407113,0.0012686788104474545,456,temp_low_seed456,128,4,concat
1.1692031143482569,-0.26859282999952333,0.0894860833765869,0.07518237084150314,1.7837948699727986,0.3950406098891478,1.9693609793896438,0.18117964950893073,2,0.0,7.289310558570595e-13,0.0894860833765869,0.3950505050505121,0.4257244946304486,0.5119036993237219,2.0067883684233694,68103,2357.166078,0.005069104954600334,789,temp_low_seed789,128,4,concat
1.1692031143482569,-0.2680909681331855,0.1093024221169546,0.08397436141967773,1.7912095224598594,0.414237562356748,1.4610376430786076,0.21290978134013955,2,0.0,0.0,0.1093024221169546,0.4143945078490591,0.4319390287132223,0.5182729118244509,2.445769368372092,68103,2362.384268,0.013654571026563644,1011,temp_low_seed1011,128,4,concat
1.1692031143482569,-0.26966219859417867,0.08899324744884053,0.07781098037958145,1.7710337815879962,0.38380096714664796,1.65568408098746,0.0,1,0.0,1.629504503147378e-13,0.08899324744884053,0.3838148148148196,0.4335881845363514,0.511745295857121,1.993485095423932,68103,2359.827834,0.005966854747384787,42,temp_medium_seed42,128,4,concat
1.1692031143482569,-0.26847467903296157,0.1639400679561889,0.10491085797548294,1.8000619632620387,0.433808719161879,1.1074606531990985,0.3038364185056191,2,0.0,2.99914706079448e-12,0.1639400679561889,0.43411804917866215,0.4074028326745718,0.5358341163158107,3.6868308479725025,68103,2350.542757,0.003790784627199173,123,temp_medium_seed123,128,4,concat
1.1692031143482569,-0.2689766610414166,0.1022076480053909,0.13671749830245972,1.787471618433782,0.42815669011707197,1.1603558828453664,0.21107262850709724,2,0.0,2.2671922247096457e-13,0.1022076480053909,0.4283011063011092,0.4026968125650854,0.5159925650584174,2.298704211125818,68103,2350.37176,0.0012686788104474545,456,temp_medium_seed456,128,4,concat
1.1692031143482569,-0.26859282999952333,0.0894860833765869,0.07518237084150314,1.7837948699727986,0.3950406098891478,1.9693609793896438,0.18117964950893073,2,0.0,7.289310558570595e-13,0.0894860833765869,0.3950505050505121,0.4257244946304486,0.5119036993237219,2.0082603391314766,68103,2355.438374,0.005069104954600334,789,temp_medium_seed789,128,4,concat
1.1692031143482569,-0.2680909681331855,0.1093024221169546,0.08397436141967773,1.7912095224598594,0.414237562356748,1.4610376430786076,0.21290978134013955,2,0.0,0.0,0.1093024221169546,0.4143945078490591,0.4319390287132223,0.5182729118244509,2.453033280872366,68103,2355.388785,0.013654571026563644,1011,temp_medium_seed1011,128,4,concat
1.1692031143482569,-0.26966219859417867,0.08899324744884053,0.07781098037958145,1.7710337815879962,0.38380096714664796,1.65568408098746,0.0,1,0.0,1.629504503147378e-13,0.08899324744884053,0.3838148148148196,0.4335881845363514,0.511745295857121,1.995074159420521,68103,2357.948246,0.005966854747384787,42,temp_high_seed42,128,4,concat
1.1692031143482569,-0.26847467903296157,0.1639400679561889,0.10491085797548294,1.8000619632620387,0.433808719161879,1.1074606531990985,0.3038364185056191,2,0.0,2.99914706079448e-12,0.1639400679561889,0.43411804917866215,0.4074028326745718,0.5358341163158107,3.6867651681243245,68103,2350.584632,0.003790784627199173,123,temp_high_seed123,128,4,concat
1.1692031143482569,-0.2689766610414166,0.1022076480053909,0.13671749830245972,1.787471618433782,0.42815669011707197,1.1603558828453664,0.21107262850709724,2,0.0,2.2671922247096457e-13,0.1022076480053909,0.4283011063011092,0.4026968125650854,0.5159925650584174,2.297578469194962,68103,2351.523369,0.0012686788104474545,456,temp_high_seed456,128,4,concat
1.1692031143482569,-0.26859282999952333,0.0894860833765869,0.07518237084150314,1.7837948699727986,0.3950406098891478,1.9693609793896438,0.18117964950893073,2,0.0,7.289310558570595e-13,0.0894860833765869,0.3950505050505121,0.4257244946304486,0.5119036993237219,2.006270058645007,68103,2357.77504,0.005069104954600334,789,temp_high_seed789,128,4,concat
1.1692031143482569,-0.2680909681331855,0.1093024221169546,0.08397436141967773,1.7912095224598594,0.414237562356748,1.4610376430786076,0.21290978134013955,2,0.0,0.0,0.1093024221169546,0.4143945078490591,0.4319390287132223,0.5182729118244509,2.454831635474436,68103,2353.66328,0.013654571026563644,1011,temp_high_seed1011,128,4,concat
1.1692031143482569,-0.26966219859417867,0.08899324744884053,0.07781098037958145,1.7710337815879962,0.38380096714664796,1.65568408098746,0.0,1,0.0,1.629504503147378e-13,0.08899324744884053,0.3838148148148196,0.4335881845363514,0.511745295857121,1.9916707434322607,68103,2361.977566,0.005966854747384787,42,temp_very_high_seed42,128,4,concat
