hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,hidden_dim,num_layers,conditioning
1.1908689608493035,-0.2700688862281691,0.2169307768025118,0.0933954268693924,1.377377486945858,0.6633891313732073,0.9070744424996464,0.1898923960673771,4,0.0,0.0194515872022811,0.2169307768025118,0.6048789145758852,0.5100157925359488,0.5528659752090456,10.49034076675963,68103,1093.119981,0.0008318631444126,42,temp_very_high_seed42,128,4,concat
1.1941044513107946,-0.2704561490660364,0.2535893139529822,0.1090781465172767,1.353982200066947,0.6531144284783216,0.8073242107728381,0.2228531332177897,4,0.0,0.0025080197742006,0.2535893139529822,0.5775273480728027,0.6380046583850931,0.5646484753033532,12.53911051531518,68103,1069.056051,0.0014024005504325,123,temp_very_high_seed123,128,4,concat
1.1909610166891182,-0.2700896814515758,0.2386953607549795,0.1019650101661682,1.3720182552868698,0.6476021487081014,0.8464994961289823,0.2568538583359496,9,0.0,0.0009513155274222,0.2386953607549795,0.6011231820928786,0.5503786789377816,0.5598613774374519,11.763553995467433,68103,1072.609614,0.0009100186289288,456,temp_very_high_seed456,128,4,concat
1.1909610166891182,-0.2700896814515758,0.2803251899974259,0.1174927130341529,1.3680372113361496,0.6577272402202675,0.8944880317949341,0.3081709784482667,7,0.0,0.0013158147459655,0.2803251899974259,0.6033678997769916,0.5421760842291703,0.5732417113269845,13.660949193306774,68103,1084.719647,0.0007261210121214,789,temp_very_high_seed789,128,4,concat
1.1941044513107946,-0.2704561490660364,0.2654245438238667,0.1078606843948364,1.345689774103548,0.6612148369429923,0.8935829830106179,0.3163097391001582,17,0.0,0.0021699604641387,0.2654245438238667,0.6040986062198213,0.5520507962517283,0.5684524622572641,13.05195209848684,68103,1074.983667,0.0022067136596888,1011,temp_very_high_seed1011,128,4,concat
0.1069802616164089,-0.0452538276951421,0.0,0.0,1.0,0.3233670033670033,2.0794415416798357,0.0,1,0.0,0.0,0.0,0.3233670033670138,0.3614705882352942,0.044206719676202,0.0,68103,2272.194442,0.0007713517406955,42,greedy_seed42,128,4,concat
0.1069802616164089,-0.0452538276951421,0.0,0.0,1.0,0.3703434343434343,1.3862943611198906,0.0,1,0.0,0.0,0.0,0.3703434343434429,0.3224632352941177,0.044206719676202,0.0,68103,2265.312079,0.0023030075244605,123,greedy_seed123,128,4,concat
0.1069802616164089,-0.0452538276951421,0.0,0.0,1.0,0.0,0.6931471805599453,0.0,1,0.0,0.0,0.0,0.0,0.0583333333333333,0.044206719676202,0.0,68103,2262.700664,0.0004907259717583,456,greedy_seed456,128,4,concat
0.1069802616164089,-0.0452538276951421,0.0,0.0,1.0,0.2422356902356902,1.9459101490553132,0.0,1,0.0,0.0,0.0,0.2422356902356871,0.6423076923076925,0.044206719676202,0.0,68103,2264.787942,0.003341801231727,789,greedy_seed789,128,4,concat
0.1069802616164089,-0.0452538276951421,0.0,0.0,1.0,0.3801212121212121,1.0986122886681098,0.0,1,0.0,0.0,0.0,0.3801212121212178,0.2842857142857142,0.044206719676202,0.0,68103,2257.192273,0.0021849626209586,1011,greedy_seed1011,128,4,concat
1.1871291350313915,-0.2696621985941786,0.0889932474488405,0.0778109803795814,1.7710337815879962,0.3838009671466479,1.65568408098746,0.0,1,0.0,1.6295045031473782e-13,0.0889932474488405,0.3838148148148196,0.4335881845363514,0.511745295857121,2.015827750548074,68103,2333.672415,0.0059668547473847,42,categorical_seed42,128,4,concat
1.1768157296469144,-0.2684746790329615,0.1639400679561889,0.1049108579754829,1.8000619632620387,0.433808719161879,1.1074606531990985,0.3038364185056191,2,0.0,2.9991470607944797e-12,0.1639400679561889,0.4341180491786621,0.4074028326745718,0.5358341163158107,3.726622743357803,68103,2325.444281,0.0037907846271991,123,categorical_seed123,128,4,concat
1.181338715910031,-0.2689766610414166,0.1022076480053909,0.1367174983024597,1.787471618433782,0.4281566901170719,1.1603558828453664,0.2110726285070972,2,0.0,2.2671922247096457e-13,0.1022076480053909,0.4283011063011092,0.4026968125650854,0.5159925650584174,2.3222895302270974,68103,2326.501236,0.0012686788104474,456,categorical_seed456,128,4,concat
1.1778839942993944,-0.2685928299995233,0.0894860833765869,0.0751823708415031,1.7837948699727986,0.3950406098891478,1.969360979389644,0.1811796495089307,2,0.0,7.289310558570595e-13,0.0894860833765869,0.3950505050505121,0.4257244946304486,0.5119036993237219,2.0294202624999333,68103,2330.879195,0.0050691049546003,789,categorical_seed789,128,4,concat
